saturation;RelPerm
0.39705882352941174;0.12834205
0.4453781512605042;0.1366753
0.5084033613445378;0.14834185
0.5714285714285714;0.15167515
0.6239495798319328;0.15500845000000002
0.6890756302521008;0.16167505000000001
0.7394957983193277;0.16667500000000002
0.8025210084033613;0.1766749
0.8508403361344538;0.1966747
0.8907563025210083;0.2200078
0.9243697478991596;0.25834075
0.9411764705882353;0.3033403
0.953781512605042;0.34167325
0.9663865546218487;0.38833945000000003
0.9747899159663865;0.42833905
0.9852941176470588;0.4733386
0.9915966386554621;0.51500485
0.995798319327731;0.5483378499999999
